Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22uF","C_1206_3216Metric",-15.797000,-53.319000,0.000000,top
"C2","47n","C_0603_1608Metric",-8.763000,-43.921000,-90.000000,top
"C3","1uF","C_0603_1608Metric",-20.828000,-43.921000,90.000000,top
"C4","47n","C_0603_1608Metric",15.020000,-36.329000,0.000000,top
"C5","47pF","C_0603_1608Metric",15.020000,-34.424000,0.000000,top
"C6","220nF","C_0603_1608Metric",-13.681000,-24.196000,0.000000,top
"C7","220nF","C_0603_1608Metric",0.000000,-38.905000,90.000000,top
"C8","1uF","C_0603_1608Metric",-17.200000,-6.305000,90.000000,top
"D1","1N4148W","D_SOD-123+THT",15.020000,-31.122000,180.000000,top
"D2","1N4148W","D_SOD-123+THT",15.020000,-26.804000,0.000000,top
"D3","1N4148W","D_SOD-123+THT",15.020000,-22.486000,0.000000,top
"J1","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",3.750000,-60.525000,180.000000,top
"Q1","BC846","SOT-23",-15.748000,-43.921000,-90.000000,top
"R1","10K","R_0603_1608Metric",-15.797000,-49.128000,0.000000,top
"R2","10K","R_0603_1608Metric",-15.797000,-51.033000,0.000000,top
"R3","1K","R_0603_1608Metric",-10.668000,-43.921000,90.000000,top
"R4","510K","R_0603_1608Metric",-12.573000,-43.921000,90.000000,top
"R5","10K","R_0603_1608Metric",-18.923000,-43.921000,-90.000000,top
"R6","4K7","R_0603_1608Metric",15.020000,-38.107000,0.000000,top
"R7","10K","R_0603_1608Metric",-22.606000,-43.921000,90.000000,top
"R8","51K","R_0603_1608Metric",17.200000,-6.305000,90.000000,top
"R9","1K","R_0603_1608Metric",-13.681000,-26.101000,180.000000,top
"R10","10K","R_0603_1608Metric",-18.380000,-26.101000,0.000000,top
"R11","220R","R_0603_1608Metric",0.000000,-31.905000,90.000000,top
"R12","1K","R_0603_1608Metric",-20.793000,-30.800000,-90.000000,top
"U1","RC4558","SO-8_3.9x4.9mm_P1.27mm",-14.570000,-30.800000,180.000000,top
