Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","220nF","C_0603_1608Metric",-11.938000,-7.620000,0.000000,top
"C3","10uF","C_0805_2012Metric",14.986000,7.620000,-90.000000,top
"C4","220nF","C_0603_1608Metric",-14.986000,7.620000,-90.000000,top
"C5","220nF","C_0603_1608Metric",-15.748000,5.080000,0.000000,top
"J4","Conn_01x04","PinSocket_1x04_P2.54mm_Vertical",-3.800000,24.000000,90.000000,top
"Q1","AO3401A","SOT-23",-16.510000,-9.906000,90.000000,top
"R1","390R","R_0603_1608Metric",18.796000,7.620000,90.000000,top
"R2","2k2","R_0603_1608Metric",17.018000,7.620000,-90.000000,top
"R3","1M","R_0603_1608Metric",-18.542000,7.620000,-90.000000,top
"R4","1M","R_0603_1608Metric",-16.764000,7.620000,90.000000,top
"R5","2M2","R_0603_1608Metric",14.224000,22.860000,180.000000,top
"R6","2M2","R_0603_1608Metric",14.187000,24.892000,180.000000,top
"REF**","JLC_Toolinghole","JLC_Toolinghole",18.500000,-12.000000,0.000000,top
"REF**","JLC_Toolinghole","JLC_Toolinghole",-20.200000,25.000000,0.000000,top
"TP2","Input","TestPoint_Bridge_Pitch2.54mm_Drill1.0mm",-18.000000,24.000000,0.000000,top
"TP4","GND","TestPoint_Bridge_Pitch2.54mm_Drill1.0mm",-4.000000,-11.000000,180.000000,top
"TP6","Output","TestPoint_Bridge_Pitch2.54mm_Drill1.0mm",-11.770000,24.000000,0.000000,top
"U1","TL072","SOIC-8_3.9x4.9mm_P1.27mm",-22.098000,2.540000,-90.000000,top
