Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","CP_Elec_4x5.4",-18.288000,-54.070000,180.000000,top
"C2","10uF","C_0805_2012Metric",0.762000,-53.054000,0.000000,top
"C3","10uF","C_0805_2012Metric",0.635000,-45.593000,180.000000,top
"C4","22nF","C_0603_1608Metric",9.906000,-57.404000,180.000000,top
"C5","470pF","C_0603_1608Metric",12.192000,-21.463000,-90.000000,top
"C6","2.2uF","C_0603_1608Metric",17.272000,-52.832000,-90.000000,top
"C7","10nF","C_0805_2012Metric",9.906000,-48.768000,-90.000000,top
"C8","220nF","C_0603_1608Metric",17.272000,-48.768000,-90.000000,top
"C9","10uF","C_0805_2012Metric",6.350000,-52.832000,-90.000000,top
"C10","220nF","C_0603_1608Metric",11.303000,-5.588000,90.000000,top
"C11","100pF","C_0603_1608Metric",22.352000,-22.860000,-90.000000,top
"C12","100nF","C_0603_1608Metric",19.700000,-5.588000,90.000000,top
"C13","10uF","C_0805_2012Metric",18.984000,-14.986000,0.000000,top
"C14","10uF","C_0805_2012Metric",19.050000,-17.018000,0.000000,top
"C15","10nF","C_0805_2012Metric",-12.051836,-25.300644,0.000000,top
"C16","220nF","C_0603_1608Metric",-12.051836,-27.078644,180.000000,top
"C17","47nF","C_0603_1608Metric",-12.051836,-19.077644,0.000000,top
"C18","1nF","C_0603_1608Metric",-15.353836,-19.077644,0.000000,top
"C19","470nF","C_0603_1608Metric",-17.200000,-5.588000,90.000000,top
"C20","10uF","C_0805_2012Metric",9.652000,-17.018000,0.000000,top
"C21","22nF","C_0603_1608Metric",-17.200000,-39.751000,90.000000,top
"C22","10uF","C_0805_2012Metric",9.652000,-14.986000,0.000000,top
"C23","22nF","C_0603_1608Metric",-5.715000,-30.226000,180.000000,top
"C24","22nF","C_0603_1608Metric",-5.715000,-24.892000,180.000000,top
"C25","220nF","C_0603_1608Metric",17.200000,-39.751000,-90.000000,top
"C26","68nF","C_0603_1608Metric",5.715000,-24.892000,0.000000,top
"C27","1nF","C_0603_1608Metric",-6.731000,-19.939000,-90.000000,top
"C28","470nF","C_0603_1608Metric",-8.509000,-19.939000,90.000000,top
"C29","1nF","C_0603_1608Metric",-12.051836,-20.855644,0.000000,top
"C30","100uF","CP_Elec_6.3x5.4_Nichicon",-6.942000,-48.482000,-90.000000,top
"D1","1N4004","D_SMA",-13.800000,-48.514000,90.000000,top
"D2","1N4004","D_SMA",-11.006000,-55.340000,180.000000,top
"J1","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",3.750000,-60.525000,180.000000,top
"Q1","BF545A","SOT-23",12.700000,-52.832000,-90.000000,top
"Q2","BF545A","SOT-23",12.700000,-48.768000,-90.000000,top
"R1","51R","R_0603_1608Metric",4.638000,-45.434000,180.000000,top
"R2","1M","R_0603_1608Metric",9.906000,-59.182000,180.000000,top
"R3","10K","R_0603_1608Metric",9.906000,-52.832000,90.000000,top
"R4","1M","R_0603_1608Metric",10.414000,-21.463000,90.000000,top
"R5","10K","R_0603_1608Metric",15.494000,-52.832000,-90.000000,top
"R6","10K","R_0603_1608Metric",8.128000,-52.832000,90.000000,top
"R7","470K","R_0603_1608Metric",6.350000,-48.768000,90.000000,top
"R8","470K","R_0603_1608Metric",8.128000,-48.768000,-90.000000,top
"R9","10K","R_0603_1608Metric",15.494000,-48.768000,-90.000000,top
"R10","2K2","R_0603_1608Metric",8.128000,-45.720000,90.000000,top
"R11","22K","R_0603_1608Metric",17.272000,-45.720000,90.000000,top
"R12","100K","R_0603_1608Metric",17.272000,-26.670000,0.000000,top
"R13","1K","R_0603_1608Metric",12.954000,-5.588000,-90.000000,top
"R14","7K5","R_0603_1608Metric",14.700000,-5.588000,90.000000,top
"R15","10K","R_0603_1608Metric",19.050000,-18.796000,180.000000,top
"R16","10K","R_0603_1608Metric",15.494000,-18.796000,180.000000,top
"R17","15K","R_0603_1608Metric",19.700000,-8.890000,-90.000000,top
"R18","10K","R_0603_1608Metric",-15.353836,-27.078644,180.000000,top
"R19","47K","R_0603_1608Metric",-18.655836,-25.300644,180.000000,top
"R20","47K","R_0603_1608Metric",-18.655836,-27.078644,180.000000,top
"R21","47K","R_0603_1608Metric",-18.655836,-19.077644,180.000000,top
"R22","39K","R_0603_1608Metric",-18.655836,-20.855644,0.000000,top
"R23","1K","R_0603_1608Metric",-17.200000,-8.890000,-90.000000,top
"R24","1M","R_0603_1608Metric",0.127000,-13.081000,180.000000,top
"R25","10K","R_0603_1608Metric",6.350000,-18.796000,0.000000,top
"R26","10K","R_0603_1608Metric",9.652000,-18.796000,0.000000,top
"R27","10K","R_0603_1608Metric",0.127000,-16.891000,180.000000,top
"R28","2K2","R_0603_1608Metric",-17.200000,-36.449000,-90.000000,top
"R29","7K5","R_0603_1608Metric",-5.715000,-28.448000,0.000000,top
"R30","470R","R_0603_1608Metric",-5.715000,-26.670000,0.000000,top
"R31","10K","R_0603_1608Metric",-2.500000,-5.588000,-90.000000,top
"R32","1K","R_0603_1608Metric",14.700000,-39.751000,-90.000000,top
"R33","10K","R_0603_1608Metric",19.685000,-39.751000,90.000000,top
"R34","330R","R_0603_1608Metric",5.715000,-26.670000,180.000000,top
"R35","470K","R_0603_1608Metric",5.740400,-23.114000,0.000000,top
"R36","10K","R_0603_1608Metric",-4.953000,-19.939000,90.000000,top
"U1","ICL7660","SOP-8_3.9x4.9mm_P1.27mm",-20.912000,-48.228000,0.000000,top
"U2","L78L15_SOT89","SOT-89-3",0.678000,-49.244000,0.000000,top
"U3","TL074","SOIC-14_3.9x8.7mm_P1.27mm",0.000000,-22.839000,0.000000,top
"U4","OPA2604","SOIC-8_3.9x4.9mm_P1.27mm",17.272000,-22.839000,0.000000,top
