Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","100uF","CP_Elec_6.3x5.3",6.731000,-49.784000,90.000000,top
"C4","47nF","C_0603_1608Metric",20.751000,-52.768000,90.000000,top
"C6","47pF","C_0603_1608Metric",18.719000,-52.768000,-90.000000,top
"C7","220nF","C_0603_1608Metric",-17.145000,-39.370000,90.000000,top
"C8","47nF","C_0603_1608Metric",0.000000,-39.357000,-90.000000,top
"C9","47nF","C_0603_1608Metric",17.272000,-39.370000,-90.000000,top
"C10","1nF","C_0603_1608Metric",-18.161000,-25.527000,-90.000000,top
"C11","220nF","C_0603_1608Metric",-9.779000,-25.527000,-90.000000,top
"C12","1nF","C_0603_1608Metric",-13.843000,-25.527000,90.000000,top
"C13","22nF","C_0603_1608Metric",-16.002000,-22.098000,90.000000,top
"C14","1nF","C_0603_1608Metric",-11.811000,-22.098000,-90.000000,top
"C15","22nF","C_0603_1608Metric",15.240000,-5.842000,-90.000000,top
"C16","10nF","C_0603_1608Metric",9.779000,-25.654000,90.000000,top
"C17","47nF","C_0603_1608Metric",14.732000,-46.101000,90.000000,top
"C18","47nF","C_0603_1608Metric",13.843000,-25.654000,-90.000000,top
"C19","10nF","C_0603_1608Metric",19.304000,-5.842000,-90.000000,top
"C20","47pF","C_0603_1608Metric",-5.715000,-22.098000,-90.000000,top
"C21","47pF","C_0603_1608Metric",-5.715000,-25.654000,-90.000000,top
"C22","47pF","C_0603_1608Metric",5.715000,-22.098000,-90.000000,top
"C23","47pF","C_0603_1608Metric",5.715000,-25.654000,-90.000000,top
"J1","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",3.750000,-60.525000,180.000000,top
"Q1","BC849C","SOT-23",19.304000,-48.514000,180.000000,top
"R1","10k","R_0603_1608Metric",16.687000,-52.768000,90.000000,top
"R3","10k","R_0603_1608Metric",16.764000,-46.101000,90.000000,top
"R4","4k7","R_0603_1608Metric",12.623000,-52.768000,-90.000000,top
"R6","220k","R_0603_1608Metric",-16.002000,-25.527000,-90.000000,top
"R7","10k","R_0603_1608Metric",-7.747000,-25.527000,-90.000000,top
"R8","27k","R_0603_1608Metric",-18.161000,-22.098000,90.000000,top
"R9","10k","R_0603_1608Metric",-11.811000,-25.527000,-90.000000,top
"R11","10k","R_0603_1608Metric",-13.843000,-22.098000,-90.000000,top
"R12","27k","R_0603_1608Metric",-9.779000,-22.098000,-90.000000,top
"R13","1M","R_0603_1608Metric",-7.747000,-22.098000,-90.000000,top
"R14","10k","R_0603_1608Metric",7.747000,-25.654000,90.000000,top
"R15","27k","R_0603_1608Metric",7.747000,-22.098000,-90.000000,top
"R16","10M","R_0603_1608Metric",17.272000,-5.842000,90.000000,top
"R17","27k","R_0603_1608Metric",11.811000,-25.654000,-90.000000,top
"R18","220k","R_0603_1608Metric",11.811000,-22.098000,90.000000,top
"R19","47k","R_0603_1608Metric",12.700000,-46.101000,90.000000,top
"R20","1k","R_0603_1608Metric",13.843000,-22.098000,-90.000000,top
"R21","10k","R_0603_1608Metric",13.843000,-18.542000,-90.000000,top
"R22","1M","R_0603_1608Metric",14.655000,-52.768000,90.000000,top
"U1","HEF4069UB","SOIC-14_3.9x8.7mm_P1.27mm",0.000000,-22.479000,0.000000,top
