Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22uF","C_1206_3216Metric",-16.256000,-29.972000,-90.000000,top
"C2","47n","C_0603_1608Metric",6.858000,-29.972000,90.000000,top
"C3","1uF","C_0603_1608Metric",18.923000,-29.972000,90.000000,top
"C4","47n","C_0603_1608Metric",15.240000,-17.907000,0.000000,top
"C5","47pF","C_0603_1608Metric",15.240000,-16.002000,0.000000,top
"C6","220nF","C_0603_1608Metric",0.889000,-14.224000,0.000000,top
"C7","220nF","C_0603_1608Metric",0.000000,4.572000,90.000000,top
"C8","1uF","C_0603_1608Metric",-15.280000,13.843000,90.000000,top
"D1","1N4148W","D_SOD-123+THT",15.240000,-12.700000,180.000000,top
"D2","1N4148W","D_SOD-123+THT",15.240000,-8.382000,0.000000,top
"D3","1N4148W","D_SOD-123+THT",15.240000,-4.064000,0.000000,top
"J1","Conn_01x04","JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical",-3.750000,-39.430000,0.000000,top
"Q1","BC846","SOT-23",13.843000,-29.972000,90.000000,top
"R1","10K","R_0603_1608Metric",-12.065000,-29.972000,90.000000,top
"R2","10K","R_0603_1608Metric",-13.970000,-29.972000,-90.000000,top
"R3","1K","R_0603_1608Metric",8.763000,-29.972000,-90.000000,top
"R4","510K","R_0603_1608Metric",10.668000,-29.972000,-90.000000,top
"R5","10K","R_0603_1608Metric",17.018000,-29.972000,90.000000,top
"R6","4K7","R_0603_1608Metric",15.240000,-19.685000,0.000000,top
"R7","10K","R_0603_1608Metric",7.112000,-24.257000,90.000000,top
"R8","51K","R_0603_1608Metric",15.200000,13.843000,90.000000,top
"R9","1K","R_0603_1608Metric",0.889000,-16.129000,180.000000,top
"R10","10K","R_0603_1608Metric",-3.810000,-16.129000,0.000000,top
"R11","220R","R_0603_1608Metric",0.000000,9.652000,90.000000,top
"R12","1K","R_0603_1608Metric",-6.223000,-20.828000,-90.000000,top
"U1","RC4558","SO-8_3.9x4.9mm_P1.27mm",0.000000,-20.828000,180.000000,top
